Hostname,IP,Set,Stripe
njscss4k0501,172.18.75.25,2,5
njscss4l0403,172.18.75.45,2,5
njscss4l0705,172.18.76.17,2,5
njscss4l1101,172.18.76.37,2,5
njscss4l1403,172.18.77.9,2,5
njscss4n0401,172.18.78.5,2,5
njscss4n0901,172.18.78.25,2,5
njscss4n1401,172.18.78.45,2,5
njscss4p0505,172.18.79.17,2,5
njscss4p0901,172.18.79.37,2,5
njscss4p1203,172.18.77.33,2,5
tjscssa0404,172.16.75.4,2,5
tjscssd1206,172.16.75.24,2,5
tjscssd0906,172.16.75.42,2,5
tjscssb1305,172.16.76.17,2,5
tjscssc1301,172.16.76.37,2,5
tjscssb0804,172.16.77.8,2,5
tjscssc0901,172.16.77.25,2,5
tjscssb0601,172.16.78.1,2,5
tjscssc0506,172.16.78.18,2,5
tjscssc0105,172.16.78.41,2,5
tjscssd0701,172.16.79.13,2,5
tjscssd0401,172.16.79.31,2,5
hzscssa1601,172.20.75.5,2,5
hzscssa2003,172.20.75.25,2,5
hzscssb0605,172.20.76.5,2,5
hzscssb1101,172.20.76.25,2,5
hzscssb1601,172.20.76.45,2,5
hzscssb2003,172.20.79.9,2,5
hzscssc0305,172.20.77.5,2,5
hzscssc0701,172.20.77.25,2,5
hzscssc1003,172.20.77.45,2,5
hzscssc1305,172.20.78.17,2,5
hzscssc1701,172.20.78.37,2,5
hzscssc2003,172.20.79.33,2,5
njscss4k0106,172.18.75.6,3,1
njscss4k0502,172.18.75.26,3,1
njscss4l0404,172.18.75.46,3,1
njscss4l0706,172.18.76.18,3,1
njscss4l1102,172.18.76.38,3,1
njscss4l1404,172.18.77.10,3,1
njscss4n0402,172.18.78.6,3,1
njscss4n0902,172.18.78.26,3,1
njscss4n1402,172.18.78.46,3,1
njscss4p0506,172.18.79.18,3,1
njscss4p0902,172.18.79.38,3,1
njscss4p1204,172.18.77.34,3,1
tjscssa0201,172.16.75.9,3,1
tjscssd1102,172.16.75.26,3,1
tjscssb1203,172.16.76.21,3,1
tjscssc1304,172.16.76.40,3,1
tjscssb0702,172.16.77.10,3,1
tjscssc0906,172.16.77.30,3,1
tjscssb0501,172.16.78.5,3,1
tjscssc0406,172.16.78.24,3,1
tjscssc0106,172.16.78.42,3,1
tjscssd0103,172.16.78.45,3,1
tjscssd0705,172.16.79.17,3,1
tjscssd0405,172.16.79.35,3,1
hzscssa1602,172.20.75.6,3,1
hzscssa2004,172.20.75.26,3,1
hzscssb0606,172.20.76.6,3,1
hzscssb1102,172.20.76.26,3,1
hzscssb1602,172.20.76.46,3,1
hzscssb2004,172.20.79.10,3,1
hzscssc0306,172.20.77.6,3,1
hzscssc0702,172.20.77.26,3,1
hzscssc1004,172.20.77.46,3,1
hzscssc1306,172.20.78.18,3,1
hzscssc1702,172.20.78.38,3,1
hzscssc2004,172.20.79.34,3,1
njscss4k0201,172.18.75.7,3,2
njscss4k0503,172.18.75.27,3,2
njscss4l0405,172.18.75.47,3,2
njscss4l0801,172.18.76.19,3,2
njscss4l1103,172.18.76.39,3,2
njscss4l1405,172.18.77.11,3,2
njscss4n0403,172.18.78.7,3,2
